DOID:24471038	"a b z e c v m p t m"	"f h x k i y n n t r"	"DOID:24471038"	"doid"	"Disease;DiseaseOrPhenotypicFeature;BiologicalEntity;NamedThing;Entity"
DOID:51119821	"c w l x v c a i x v"	"r s m a f u x d p m"	"DOID:51119821"	"doid"	"Disease;DiseaseOrPhenotypicFeature;BiologicalEntity;NamedThing;Entity"
DOID:07379017	"b b s v x u c i v u"	"l w q k i q w p u n"	"DOID:07379017"	"doid"	"Disease;DiseaseOrPhenotypicFeature;BiologicalEntity;NamedThing;Entity"
DOID:38965963	"a v r l f d h l p h"	"n a t g j i q x h f"	"DOID:38965963"	"doid"	"Disease;DiseaseOrPhenotypicFeature;BiologicalEntity;NamedThing;Entity"
DOID:14743897	"w y l h l n p m g t"	"o e l k n l a i e l"	"DOID:14743897"	"doid"	"Disease;DiseaseOrPhenotypicFeature;BiologicalEntity;NamedThing;Entity"
DOID:39674679	"e w d j a n f m u l"	"g w u g m p o d y m"	"DOID:39674679"	"doid"	"Disease;DiseaseOrPhenotypicFeature;BiologicalEntity;NamedThing;Entity"
DOID:59302426	"b j r s n s f q u j"	"f o h n q m l i a o"	"DOID:59302426"	"doid"	"Disease;DiseaseOrPhenotypicFeature;BiologicalEntity;NamedThing;Entity"
DOID:16793025	"p v r b c u d c p c"	"v d q r n g y e p p"	"DOID:16793025"	"doid"	"Disease;DiseaseOrPhenotypicFeature;BiologicalEntity;NamedThing;Entity"
DOID:91492766	"h z x n e c m r f r"	"x x u s q f e w q m"	"DOID:91492766"	"doid"	"Disease;DiseaseOrPhenotypicFeature;BiologicalEntity;NamedThing;Entity"
DOID:20622020	"x m c i a e i d b w"	"q o m u g v f p d w"	"DOID:20622020"	"doid"	"Disease;DiseaseOrPhenotypicFeature;BiologicalEntity;NamedThing;Entity"
DOID:02573382	"s w e u e a s k s n"	"t l y d y n b q q b"	"DOID:02573382"	"doid"	"Disease;DiseaseOrPhenotypicFeature;BiologicalEntity;NamedThing;Entity"
